iter	Passed	Remaining
0	8	830
1	16	799
2	23	758
3	30	720
4	37	709
5	45	705
6	51	684
7	59	688
8	66	676
9	75	677
10	81	662
11	90	662
12	98	656
13	104	644
14	111	632
15	117	619
16	125	613
17	133	607
18	140	596
19	147	591
20	156	589
21	164	582
22	172	578
23	179	568
24	188	565
25	195	555
26	203	549
27	209	539
28	217	531
29	223	521
30	231	514
31	238	506
32	245	497
33	251	488
34	258	480
35	266	472
36	273	465
37	279	456
38	287	450
39	295	443
40	302	435
41	305	422
42	312	414
43	320	408
44	327	400
45	334	392
46	341	385
47	349	378
48	356	371
49	363	363
50	370	356
51	377	348
52	385	341
53	391	333
54	397	324
55	404	317
56	411	310
57	418	303
58	426	296
59	433	289
60	442	282
61	448	274
62	456	267
63	463	260
64	470	253
65	477	245
66	484	238
67	491	231
68	498	223
69	505	216
70	513	209
71	521	202
72	531	196
73	538	189
74	547	182
75	556	175
76	564	168
77	573	161
78	580	154
79	589	147
80	597	140
81	605	132
82	614	125
83	622	118
84	631	111
85	639	104
86	646	96
87	654	89
88	661	81
89	670	74
90	676	66
91	683	59
92	691	52
93	699	44
94	705	37
95	712	29
96	719	22
97	727	14
98	734	7
99	741	0
