iter	Passed	Remaining
0	179	179171
1	180	90081
2	181	60377
3	182	45510
4	183	36566
5	184	30578
6	185	26312
7	186	23110
8	187	20627
9	188	18658
10	189	17066
11	191	15747
12	192	14625
13	193	13645
14	194	12791
15	195	12041
16	197	11392
17	198	10810
18	199	10281
19	200	9802
20	201	9371
21	202	8983
22	203	8630
23	204	8301
24	205	8002
25	206	7734
26	207	7476
27	208	7232
28	209	7003
29	210	6790
30	210	6589
31	211	6402
32	212	6226
33	213	6062
34	214	5908
35	215	5763
36	216	5628
37	217	5496
38	217	5369
39	218	5249
40	219	5141
41	221	5047
42	222	4943
43	223	4845
44	223	4749
45	224	4658
46	225	4570
47	226	4486
48	227	4409
49	227	4331
50	228	4257
51	229	4187
52	230	4120
53	231	4058
54	232	3999
55	233	3941
56	234	3885
57	235	3828
58	236	3774
59	237	3720
60	238	3669
61	239	3620
62	240	3572
63	241	3526
64	242	3482
65	243	3439
66	243	3397
67	245	3358
68	246	3323
69	248	3295
70	249	3259
71	249	3221
72	250	3187
73	251	3152
74	252	3117
75	253	3083
76	254	3049
77	255	3017
78	256	2985
79	256	2954
80	257	2923
81	258	2893
82	258	2859
83	259	2831
84	260	2803
85	261	2780
86	262	2758
87	264	2737
88	265	2716
89	266	2694
90	267	2674
91	269	2658
92	270	2642
93	272	2622
94	273	2604
95	274	2587
96	277	2582
97	278	2566
98	280	2548
99	280	2528
100	281	2508
101	282	2491
102	284	2474
103	285	2457
104	286	2439
105	287	2422
106	288	2406
107	289	2389
108	290	2376
109	292	2362
110	293	2347
111	294	2333
112	295	2318
113	296	2306
114	297	2292
115	298	2278
116	299	2262
117	300	2247
118	301	2233
119	302	2220
120	303	2208
121	304	2194
122	306	2184
123	307	2173
124	308	2160
125	309	2146
126	310	2132
127	311	2119
128	312	2107
129	313	2097
130	314	2085
131	315	2075
132	316	2063
133	317	2052
134	318	2042
135	319	2032
136	321	2027
137	323	2019
138	324	2010
139	325	2000
140	326	1991
141	327	1980
142	328	1971
143	330	1961
144	331	1952
145	332	1943
146	333	1933
147	334	1925
148	335	1918
149	337	1910
150	338	1902
151	339	1895
152	341	1887
153	342	1881
154	343	1872
155	344	1864
156	346	1858
157	347	1851
158	348	1843
159	349	1837
160	350	1828
161	352	1823
162	353	1816
163	354	1809
164	356	1801
165	357	1795
166	358	1788
167	359	1782
168	361	1775
169	362	1769
170	363	1762
171	365	1758
172	367	1757
173	368	1751
174	370	1744
175	371	1738
176	372	1732
177	373	1726
178	375	1720
179	376	1715
180	377	1710
181	379	1706
182	381	1701
183	382	1695
184	383	1689
185	384	1683
186	385	1678
187	387	1672
188	388	1667
189	389	1662
190	391	1656
191	392	1651
192	395	1652
193	396	1648
194	397	1642
195	399	1637
196	400	1631
197	401	1625
198	402	1619
199	403	1614
200	404	1609
201	405	1603
202	407	1597
203	408	1593
204	410	1590
205	411	1584
206	412	1580
207	413	1574
208	414	1569
209	415	1564
210	417	1559
211	418	1554
212	419	1550
213	420	1544
214	421	1539
215	423	1535
216	424	1531
217	425	1527
218	427	1523
219	428	1517
220	429	1512
221	429	1506
222	430	1501
223	431	1495
224	432	1490
225	433	1484
226	434	1478
227	435	1473
228	435	1467
229	437	1463
230	439	1463
231	442	1463
232	443	1459
233	444	1454
234	445	1449
235	446	1445
236	447	1440
237	448	1436
238	449	1431
239	450	1427
240	451	1421
241	452	1416
242	453	1413
243	454	1409
244	456	1405
245	457	1401
246	458	1397
247	459	1392
248	460	1388
249	461	1384
250	462	1379
251	463	1375
252	464	1371
253	465	1368
254	466	1364
255	468	1362
256	470	1359
257	471	1355
258	472	1351
259	473	1348
260	475	1344
261	476	1341
262	477	1338
263	478	1335
264	480	1331
265	481	1328
266	483	1327
